class,class_accuracy_recall_mean,class_accuracy_recall_std,f1_mean,f1_std
disturbed,0.4862385321100917,0.015890374381365847,0.45647818843523663,0.019005754732544972
merging,0.7706093189964157,0.03579746300257735,0.7623287240664164,0.028216907761307735
round_smooth,0.8628930817610062,0.013252394657676397,0.8469989895820618,0.017682842815180986
in_between_round_smooth,0.7859477124183006,0.011320593513522097,0.7943958242734274,0.0010464919618401838
cigar_shaped_smooth,0.823529411764706,0.10604562574894082,0.6091296275456747,0.08063742553292574
barred_spiral,0.6276422764227642,0.04205696636220349,0.6430865327517191,0.02229433480135393
unbarred_tight_spiral,0.6521739130434784,0.03260869565217395,0.6339057087898254,0.03448786973438213
unbarred_loose_spiral,0.4861111111111111,0.03309429904565948,0.5458764235178629,0.029511665651235627
edge_on_without_bulge,0.8927738927738927,0.0040374144698575145,0.8838121096293131,0.018402602451086856
edge_on_with_bulge,0.8617021276595745,0.0184260724209455,0.8474102020263672,0.008498096548974099
