question,num_classes,train_samples,test_samples,accuracy,f1,best_val_loss
smooth,3,46452,11121,0.6916104666846505,0.7466326189920504,0.36782814766231337
disk-edge-on,2,46112,1543,0.9281918340894361,0.9347066879913235,0.24726374776739823
spiral-arms,2,44226,1155,0.9343722943722945,0.9448739474940091,0.5032834864324993
bar,3,44226,1155,0.3399134199134199,0.2805833671711021,0.6651181638240814
bulge-size,5,44226,1155,0.623030303030303,0.664180001678057,0.5481322791841294
how-rounded,3,45658,1700,0.825294117647059,0.8230754187016169,0.5931265579329597
edge-on-bulge,3,28842,140,0.5342857142857143,0.5726545649330077,0.6092067648967107
spiral-winding,3,28249,804,0.6912935323383085,0.6873742140582856,0.8421139200528461
spiral-arm-count,6,28249,804,0.3218905472636816,0.3470752096530897,0.81277573009332
merging,4,45289,8597,0.4519716180062813,0.5313772781548283,0.8521442552407583
