question,num_classes,train_samples,test_samples,accuracy,f1,best_val_loss
smooth,3,46452,11121,0.6896861793004226,0.742238469635767,0.3752349411186419
disk-edge-on,2,46112,1543,0.9157485418016851,0.9244316583763592,0.2626638843824989
spiral-arms,2,44226,1155,0.9142857142857143,0.9333586468351202,0.5211435357729594
bar,3,44226,1155,0.3341991341991342,0.2819228403023226,0.6752834022045135
bulge-size,5,44226,1155,0.5575757575757576,0.6087415990765456,0.5526181724336412
how-rounded,3,45658,1700,0.7252941176470589,0.7183428965299606,0.664325260453754
edge-on-bulge,3,28842,140,0.5071428571428571,0.5471295060080107,0.6157218714555105
spiral-winding,3,28249,804,0.6741293532338308,0.664767220157408,0.8483409682909647
spiral-arm-count,6,28249,804,0.30597014925373134,0.331540080456747,0.828629195690155
merging,4,45289,8597,0.47667791089915085,0.5552739119388701,0.8629915316899618
