question,num_classes,train_samples,test_samples,accuracy,f1,best_val_loss
smooth,3,46452,11121,0.7742109522524953,0.675683573959149,0.8520322661650809
disk-edge-on,2,46112,1543,0.8846403110823072,0.8304910760848345,0.480208778067639
spiral-arms,2,44226,1155,0.935930735930736,0.9452760018173436,0.5473773380120596
bar,3,44226,1155,0.5376623376623376,0.376000351000351,0.895446734295951
bulge-size,5,44226,1155,0.7688311688311689,0.7584135785452119,1.3641676704088848
how-rounded,3,45658,1700,0.8447058823529412,0.8436500914473347,0.8211449815167321
edge-on-bulge,3,28842,140,0.8,0.711111111111111,0.8799054026603699
spiral-winding,3,28249,804,0.7524875621890548,0.6462100427599405,1.0108587394158046
spiral-arm-count,6,28249,804,0.4987562189054726,0.4329271978828158,1.5932833552360535
merging,4,45289,8597,0.8144701640107014,0.7311904722614181,1.1725149816936917
