question,num_classes,train_samples,test_samples,accuracy,f1,best_val_loss
smooth,3,46452,11121,0.6981026886071396,0.7511916314279319,0.36810908348936777
disk-edge-on,2,46112,1543,0.9217109526895658,0.9294338160480619,0.24687826743251398
spiral-arms,2,44226,1155,0.93004329004329,0.9428675030857837,0.5079387889968023
bar,3,44226,1155,0.3613852813852814,0.31479118221635627,0.6627293169498444
bulge-size,5,44226,1155,0.6190476190476191,0.6530594547343637,0.5473324391576979
how-rounded,3,45658,1700,0.8389411764705882,0.8376279507146901,0.5865170160929363
edge-on-bulge,3,28842,140,0.5114285714285713,0.5519953152115055,0.6098783006270726
spiral-winding,3,28249,804,0.6793532338308458,0.6807681686263501,0.8400226195653279
spiral-arm-count,6,28249,804,0.3283582089552239,0.35416224007562547,0.8122820417086285
merging,4,45289,8597,0.45625218099336984,0.535391791693001,0.8529238899548848
