question,num_classes,train_samples,test_samples,accuracy,f1,best_val_loss
smooth,3,46452,11121,0.6929772502472799,0.7428747751384626,0.3754643446520755
disk-edge-on,2,46112,1543,0.9227478937135452,0.930147342533254,0.2561735471612529
spiral-arms,2,44226,1155,0.9092640692640692,0.9318190104274713,0.5217108329137167
bar,3,44226,1155,0.33645021645021644,0.28489048196096417,0.6710509313477411
bulge-size,5,44226,1155,0.5913419913419913,0.6417625299480921,0.5529546777407328
how-rounded,3,45658,1700,0.7688235294117647,0.7633326322056708,0.6304719434844123
edge-on-bulge,3,28842,140,0.5514285714285714,0.5906057810917401,0.6133455713589987
spiral-winding,3,28249,804,0.6597014925373135,0.6557138047462413,0.8466764072577158
spiral-arm-count,6,28249,804,0.27238805970149255,0.2936433835519953,0.8211453378200531
merging,4,45289,8597,0.4154937768989182,0.4947364779351945,0.8642398907078637
