model,decoder,target,own_r2,direct_transfer_r2,procrustes_transfer_r2
jepa,image_decoder,redshift,0.6131616722162058,0.3724790239151087,0.5149108476117188
jepa,image_decoder,stellar_mass,0.7680956111638527,-0.21921648484536438,0.620798785813911
jepa,image_decoder,metallicity,0.4594562624345787,0.052832505460246204,0.36871277814874326
jepa,image_decoder,age,0.2788108365916331,-0.37976605371874883,0.16566037231342778
jepa,image_decoder,ssfr,0.5639617426082586,-0.10224207028295806,0.47389129951084286
clip,image_decoder,redshift,0.6013989486851091,0.14745398223188655,0.46682487440794884
clip,image_decoder,stellar_mass,0.7922578066714918,0.34037478999105086,0.6261698563277851
clip,image_decoder,metallicity,0.46903858023053735,0.18215081022861002,0.3553438019958396
clip,image_decoder,age,0.3063628950778786,0.05596394368085078,0.22519472228663473
clip,image_decoder,ssfr,0.5828152715372001,-0.27933047761959795,0.36478831426064284
jepa,spectrum_decoder,redshift,0.6318890588347539,0.1734847374912184,0.5292882184977634
jepa,spectrum_decoder,stellar_mass,0.7798526642392101,-0.25418930112291527,0.6301861841575942
jepa,spectrum_decoder,metallicity,0.44809395312753286,-0.1416819776025997,0.37313393443272413
jepa,spectrum_decoder,age,0.27345373130556894,-0.30600340702168527,0.21906174003232326
jepa,spectrum_decoder,ssfr,0.5697504006807889,0.14017235013120632,0.494807123087621
clip,spectrum_decoder,redshift,0.6513197122457846,0.1278455923272903,0.5016080850128394
clip,spectrum_decoder,stellar_mass,0.8165363446897828,0.22105103855573716,0.6662017290822577
clip,spectrum_decoder,metallicity,0.5090654590445391,-0.03938762078828595,0.3724912329834187
clip,spectrum_decoder,age,0.35367155293686847,-0.030061586144584318,0.21357812642003127
clip,spectrum_decoder,ssfr,0.6275140938476591,-0.6288053795118931,0.44117082258445495
