space,representation,target,r2_mean,r2_std
J_I,raw,redshift,0.6267587413935641,0.0007270356211427233
J_I,raw,stellar_mass,0.8060401953160564,3.7610078688945483e-05
J_I,raw,metallicity,0.4742896494025714,0.0002012478259558638
J_I,raw,age,0.31405366229474546,0.00028848904462758175
J_I,raw,ssfr,0.5913203738908127,0.0001452006360943901
J_S,raw,redshift,0.675432677102262,0.0004850924974017065
J_S,raw,stellar_mass,0.8424765101655983,0.00010517772036050601
J_S,raw,metallicity,0.549144314208464,0.00026653014776334503
J_S,raw,age,0.3626672399322415,0.0001759791436716638
J_S,raw,ssfr,0.6392993490634964,0.00031244955452122686
C_I,raw,redshift,0.6098896504095614,0.0004460475700088642
C_I,raw,stellar_mass,0.792820287311577,5.2534441266808394e-05
C_I,raw,metallicity,0.4653899485489221,0.00010877341639904197
C_I,raw,age,0.30680447056113236,0.0005139947055423614
C_I,raw,ssfr,0.5795170987893347,5.607629948571906e-05
C_S,raw,redshift,0.678359099978516,0.000208576363493934
C_S,raw,stellar_mass,0.8458689770381972,4.99456458228008e-05
C_S,raw,metallicity,0.5669623458893291,0.0004984055260744549
C_S,raw,age,0.39050122590596253,0.0005309262042776405
C_S,raw,ssfr,0.6625764489833034,3.636115873922354e-05
J_I,projected,redshift,0.6131038232752616,0.00016451538255733017
J_I,projected,stellar_mass,0.7680116726383791,8.751155668882185e-05
J_I,projected,metallicity,0.4593080041072924,0.00021212067810871452
J_I,projected,age,0.278290302808375,0.00036862402830145483
J_I,projected,ssfr,0.5638788147782687,0.0002223247165239028
J_S,projected,redshift,0.632092506520397,0.0002517602008133563
J_S,projected,stellar_mass,0.7799015451710889,4.298310292932259e-05
J_S,projected,metallicity,0.448309484940937,0.00019793352163276396
J_S,projected,age,0.2735287129903108,5.544604924139796e-05
J_S,projected,ssfr,0.5698670873797022,0.00013431166726740655
C_I,projected,redshift,0.601458390678295,0.0002289023304279544
C_I,projected,stellar_mass,0.7922709489569183,3.309329469567598e-05
C_I,projected,metallicity,0.46879752571704714,0.00020763674555926488
C_I,projected,age,0.30596720943766736,0.00038107535333838343
C_I,projected,ssfr,0.5827412339851802,6.670506837145119e-05
C_S,projected,redshift,0.6513108629909068,0.00010498635735618254
C_S,projected,stellar_mass,0.816489052937137,7.563733554918602e-05
C_S,projected,metallicity,0.5090517828166896,8.080774657785069e-05
C_S,projected,age,0.3533951728564591,0.0003321888524722431
C_S,projected,ssfr,0.6275164479924021,2.8751069586821612e-05
