regime,direction,component,cross_modal_global_r2,redshift,stellar_mass,metallicity,age,ssfr
independent,image_to_spectrum,private,0.024926,0.138272,0.237453,0.132916,0.090600,0.178489
independent,image_to_spectrum,shared,0.024926,0.499039,0.648642,0.384253,0.206738,0.463463
independent,image_to_spectrum,total,0.024926,0.543682,0.671755,0.384425,0.189476,0.483188
independent,spectrum_to_image,private,0.025342,0.082368,0.213100,0.148306,0.080027,0.165531
independent,spectrum_to_image,shared,0.025342,0.544028,0.676789,0.386156,0.205922,0.484553
independent,spectrum_to_image,total,0.025342,0.495810,0.648654,0.381309,0.203412,0.462291
sequential,image_to_spectrum,private,0.597303,0.092885,0.223647,0.165363,0.111533,0.168424
sequential,image_to_spectrum,shared,0.597303,0.506905,0.667515,0.395172,0.200887,0.487593
sequential,image_to_spectrum,total,0.597303,0.570663,0.709476,0.418761,0.238861,0.525892
sequential,spectrum_to_image,private,0.626449,0.032414,0.117346,0.080526,0.055612,0.088721
sequential,spectrum_to_image,shared,0.626449,0.570215,0.710247,0.418348,0.235249,0.523413
sequential,spectrum_to_image,total,0.626449,0.504872,0.668189,0.393129,0.193874,0.485275
joint,image_to_spectrum,private,0.749088,0.039801,0.186154,0.102040,0.067781,0.140532
joint,image_to_spectrum,shared,0.749088,0.610305,0.764310,0.453650,0.269882,0.558013
joint,image_to_spectrum,total,0.749088,0.629971,0.776076,0.441834,0.262166,0.562708
joint,spectrum_to_image,private,0.736278,0.018063,0.132829,0.066060,0.056716,0.080753
joint,spectrum_to_image,shared,0.736278,0.629931,0.775509,0.441148,0.260894,0.562563
joint,spectrum_to_image,total,0.736278,0.608435,0.764874,0.453960,0.269458,0.557967
